h11 h12 h13
0.34 0.46 0.24 
0.37 0.48 0.29 
0.60 0.27 0.34 
0.58 0.30 0.24 
0.39 0.35 0.68 
0.39 0.75 0.37 
0.45 0.53 0.36 
0.44 0.73 0.61 
0.66 0.73 0.53 
0.60 0.55 1.05 
0.55 0.59 0.58 
0.64 1.21 0.57 
0.83 0.47 0.54 
0.89 0.52 0.72 
0.93 0.51 0.83 
0.79 0.45 0.69 
0.79 0.47 0.66 
0.74 0.40 0.57 
0.69 0.52 0.64 
0.86 0.47 0.81 
0.81 0.53 0.68 
0.72 0.50 0.63 
0.94 0.52 0.95 
0.83 0.49 0.77 
0.80 0.47 0.76 
0.86 0.52 0.80 
0.86 0.57 0.51 
0.78 0.59 0.41 
0.74 0.69 0.29 
0.88 0.52 0.47 
0.73 0.55 0.37 
0.86 0.52 0.44 
0.69 0.44 0.28 
0.89 0.58 0.52 
0.73 0.53 0.37 
0.84 0.45 0.36 
0.72 0.42 0.40 
0.89 0.52 0.47 
0.76 0.48 0.35 
0.76 0.56 0.39 
0.90 0.56 0.48 
0.75 0.49 0.32 
0.70 0.52 0.35 
0.83 0.53 0.41 
0.81 0.47 0.36 
0.74 0.47 0.34 
0.83 0.48 0.31 
0.75 0.52 0.31 
0.86 0.49 0.58 
0.80 0.60 0.39 
