h11 h12 h13
0.28 0.68 0.44 
0.31 0.42 0.55 
0.56 0.25 0.50 
0.60 0.58 0.38 
0.68 0.82 0.51 
0.59 0.71 0.68 
0.61 0.39 0.34 
0.66 0.75 0.31 
0.51 0.56 0.33 
0.98 0.71 0.42 
0.80 0.54 0.45 
0.69 0.61 0.41 
0.82 0.85 0.46 
0.75 0.87 0.55 
0.93 0.86 0.47 
0.83 0.85 0.49 
0.79 0.79 0.34 
0.82 0.87 0.34 
0.80 0.77 0.53 
0.86 0.81 0.58 
0.82 0.78 0.45 
0.93 0.88 0.60 
0.71 0.85 0.56 
0.76 0.72 0.45 
0.70 0.66 0.42 
0.90 0.92 0.60 
0.84 0.86 0.55 
0.89 0.87 0.50 
0.71 0.69 0.48 
0.78 0.77 0.50 
0.88 0.86 0.59 
0.74 0.74 0.52 
0.74 0.77 0.55 
0.73 0.74 0.47 
0.73 0.90 0.47 
0.74 0.74 0.35 
0.91 0.89 0.54 
0.92 0.90 0.50 
0.90 0.88 0.63 
0.77 0.81 0.49 
0.70 0.68 0.50 
0.75 0.79 0.52 
0.85 0.83 0.56 
0.86 0.89 0.63 
0.78 0.76 0.53 
0.58 0.63 0.34 
0.84 0.79 0.49 
0.86 0.70 0.44 
0.75 0.75 0.50 
0.83 0.89 0.60 
