h11 h12 h13
0.40 0.50 0.29 
0.28 0.47 0.43 
0.53 0.29 0.37 
0.38 0.46 0.49 
0.37 0.65 0.31 
0.84 0.37 0.31 
0.72 0.31 0.88 
0.80 0.50 0.62 
0.45 0.35 0.43 
0.83 0.58 0.92 
0.62 0.74 0.70 
0.75 0.59 0.50 
0.59 0.41 0.49 
0.69 0.38 0.64 
0.83 0.94 0.54 
0.90 1.21 0.60 
0.76 0.84 0.41 
0.81 0.89 0.89 
1.00 1.04 1.08 
0.81 0.84 0.89 
0.64 0.67 0.67 
0.87 0.91 0.85 
0.80 0.81 0.78 
0.78 0.82 0.84 
0.70 0.66 0.74 
0.94 0.84 0.97 
0.85 0.83 0.85 
0.84 0.89 0.95 
1.08 1.04 1.01 
0.93 0.98 1.01 
1.19 1.07 1.14 
1.19 1.20 1.28 
1.15 1.13 1.20 
0.91 0.93 0.93 
0.81 0.77 0.67 
0.62 0.67 0.64 
0.73 0.84 0.78 
0.90 0.94 0.87 
0.92 0.87 0.93 
0.79 0.74 0.72 
0.73 0.72 0.76 
0.72 0.74 0.70 
0.82 0.74 0.77 
1.13 1.11 1.19 
0.79 0.76 0.78 
0.83 0.83 0.75 
0.76 0.72 0.82 
0.80 0.78 0.77 
1.13 1.09 1.18 
1.21 1.16 1.25 
