h11 h12 h13 h14 h15 h16 h17
10.89 9.78 9.63 11.16 9.58 9.31 9.59 
13.40 16.46 16.94 16.25 13.15 15.95 15.51 
14.41 14.64 13.64 13.92 20.90 17.24 15.09 
10.88 9.14 10.31 13.48 9.72 9.86 11.62 
13.50 14.16 11.22 13.07 11.87 12.99 18.20 
10.56 10.19 10.30 10.49 10.32 11.91 10.76 
13.43 16.88 16.78 13.82 15.33 13.67 13.99 
13.54 13.24 13.66 13.35 14.15 14.32 13.09 
15.25 15.81 15.74 15.50 16.15 14.81 14.16 
15.33 16.29 16.83 16.63 15.70 14.90 15.40 
13.81 13.97 13.96 14.59 14.68 14.34 14.39 
14.57 14.85 16.21 15.83 16.51 16.00 15.76 
14.95 15.13 15.39 16.61 12.69 14.15 15.48 
13.28 13.10 12.76 13.98 14.70 14.64 13.62 
16.69 15.94 16.27 16.66 15.18 15.26 15.69 
15.46 14.91 14.94 14.70 16.95 15.13 14.99 
15.72 15.36 16.13 14.51 14.90 17.19 13.38 
13.80 15.17 15.27 14.19 15.39 14.77 14.75 
15.77 16.53 14.97 15.17 16.09 16.86 14.75 
16.12 13.28 15.17 15.11 13.12 17.13 14.47 
12.82 14.82 13.20 14.26 14.77 14.31 14.51 
15.49 14.80 15.93 15.73 15.30 13.40 15.55 
14.99 12.35 15.21 15.29 14.39 14.28 18.65 
14.00 13.82 10.16 10.26 10.97 14.65 10.65 
14.13 12.90 13.30 14.87 14.75 13.83 13.00 
15.48 13.66 15.98 13.96 14.58 15.03 14.21 
15.03 15.33 14.37 13.96 14.18 14.61 16.50 
11.75 13.30 12.98 13.53 13.66 17.78 12.45 
12.12 11.91 11.63 12.64 12.98 12.55 11.20 
17.00 15.77 15.19 15.53 16.37 16.67 16.60 
16.02 14.77 20.46 14.68 13.88 14.02 17.26 
8.74 9.11 10.40 10.68 10.67 10.33 10.16 
14.81 16.74 15.27 16.09 15.88 14.77 14.36 
14.53 13.25 15.21 14.65 14.97 11.95 14.22 
12.90 13.89 16.84 13.05 13.33 14.39 14.24 
13.71 14.03 14.39 13.76 13.25 13.05 12.86 
15.00 15.21 16.63 16.85 14.77 13.94 16.12 
20.98 19.12 14.11 16.48 17.19 13.75 14.68 
11.30 9.89 9.76 10.01 10.96 11.52 10.29 
13.28 14.33 13.79 14.59 16.52 14.53 14.80 
14.75 13.32 13.54 13.25 14.83 13.81 13.47 
15.47 15.73 14.39 14.64 15.19 15.92 15.19 
16.54 15.16 15.99 15.79 16.36 15.46 14.66 
14.36 13.84 17.55 15.10 16.48 13.08 17.14 
13.59 14.19 12.88 13.93 12.29 16.24 13.15 
12.37 14.24 12.13 13.93 13.82 13.53 15.92 
13.09 14.37 12.80 14.09 14.04 15.44 13.48 
15.20 14.84 12.49 13.68 14.77 15.43 15.28 
16.97 16.28 15.36 15.24 15.96 17.37 15.14 
12.00 14.81 14.41 11.90 14.94 16.40 15.83 
