h11 h12 h13
0.25 0.27 0.40 
0.27 0.20 0.45 
0.31 0.59 0.53 
0.48 0.42 0.21 
0.71 0.88 0.41 
0.48 0.58 0.30 
0.68 0.70 0.37 
0.74 0.47 0.31 
0.75 0.65 0.26 
0.57 0.67 0.24 
0.62 0.62 0.25 
0.67 0.73 0.31 
0.53 0.56 0.54 
0.72 0.78 0.76 
0.70 0.67 0.70 
0.63 0.68 0.66 
0.67 0.71 0.74 
0.56 0.62 0.57 
0.68 0.66 0.70 
0.65 0.60 0.58 
0.54 0.55 0.58 
0.67 0.63 0.68 
0.72 0.72 0.76 
0.74 0.68 0.71 
0.49 0.53 0.50 
0.65 0.62 0.62 
0.72 0.70 0.60 
0.60 0.61 0.59 
0.49 0.56 0.58 
0.66 0.68 0.71 
0.66 0.67 0.62 
0.63 0.66 0.66 
0.65 0.76 0.57 
0.57 0.60 0.64 
0.61 0.63 0.67 
0.69 0.64 0.62 
0.70 0.78 0.74 
0.67 0.69 0.72 
0.62 0.63 0.68 
0.68 0.74 0.69 
0.72 0.64 0.66 
0.66 0.68 0.64 
0.65 0.61 0.63 
0.49 0.76 0.56 
0.54 0.55 0.51 
0.65 0.75 0.62 
0.56 0.54 0.63 
0.68 0.70 0.72 
0.60 0.69 0.63 
0.66 0.69 0.62 
