h11 h12 h13
0.29 0.44 0.39 
0.27 0.48 0.55 
0.27 0.42 0.36 
0.64 0.78 0.35 
0.33 0.57 0.27 
0.34 0.27 0.57 
0.42 1.02 0.35 
0.41 0.96 0.38 
0.69 0.33 0.71 
0.94 0.94 0.53 
0.89 1.02 0.71 
0.87 0.83 0.74 
0.57 0.65 0.37 
0.71 0.73 0.58 
0.62 0.66 0.56 
0.80 0.85 0.68 
0.83 0.84 0.68 
0.78 0.83 0.69 
0.79 0.74 0.68 
0.87 0.82 0.72 
0.78 0.82 0.75 
0.68 0.74 0.59 
0.86 0.88 0.79 
0.82 0.87 0.69 
0.86 0.82 0.79 
0.74 0.71 0.75 
0.74 0.77 0.73 
0.74 0.76 0.76 
0.78 0.80 0.83 
0.74 0.79 0.72 
0.70 0.68 0.74 
0.79 0.79 0.78 
0.76 0.83 0.71 
0.66 0.66 0.63 
0.89 0.90 0.89 
0.88 0.93 0.88 
0.85 0.78 0.91 
0.76 0.74 0.78 
0.79 0.69 0.80 
0.80 0.75 0.81 
0.68 0.67 0.77 
0.80 0.86 0.83 
0.78 0.80 0.73 
0.66 0.69 0.65 
0.69 0.76 0.81 
0.79 0.79 0.76 
0.81 0.79 0.76 
0.79 0.80 0.76 
0.68 0.69 0.73 
0.66 0.73 0.64 
