h11 h12 h13 h14 h15
7.39 7.96 7.63 7.71 8.31 
12.28 9.86 10.04 10.86 10.18 
8.66 9.16 10.66 9.48 9.15 
9.29 10.91 11.24 8.51 10.52 
9.77 10.50 9.24 9.09 10.88 
8.95 10.96 10.98 9.25 9.85 
11.73 9.27 11.20 11.84 10.94 
9.76 9.40 11.16 10.07 9.83 
9.30 10.18 9.99 9.50 10.01 
13.12 10.50 10.33 10.87 11.15 
8.12 8.34 7.70 7.74 7.72 
10.18 11.52 11.51 11.20 11.32 
11.68 11.89 10.55 11.57 10.12 
9.49 12.32 9.93 9.16 11.09 
7.96 9.59 9.82 9.61 10.23 
11.19 10.54 10.51 10.62 11.81 
8.78 10.42 7.85 11.01 11.51 
9.69 9.76 9.40 10.13 12.14 
9.36 8.74 8.71 9.57 9.32 
11.33 11.09 8.71 9.55 11.47 
10.05 11.22 9.57 9.86 9.51 
10.60 11.42 9.84 10.09 10.22 
10.56 11.13 10.72 10.32 10.38 
8.94 12.78 11.57 11.87 11.98 
10.20 9.41 9.12 9.34 9.69 
8.34 10.82 10.69 10.81 11.09 
11.39 9.75 9.61 10.30 10.67 
10.43 9.64 10.63 9.78 9.93 
10.99 11.35 10.02 10.61 9.20 
9.63 10.03 10.59 9.81 10.26 
9.82 10.23 10.31 11.24 11.20 
11.33 9.11 11.95 9.30 12.54 
9.93 11.16 10.58 9.48 10.14 
9.18 9.94 10.85 9.41 10.35 
9.30 9.06 9.89 9.36 11.08 
9.26 9.65 9.85 9.07 10.15 
9.72 9.44 11.35 11.18 9.56 
11.15 9.07 8.75 10.97 10.69 
10.32 10.60 10.54 10.17 10.51 
10.64 11.51 10.27 10.55 11.12 
11.17 10.20 10.11 9.68 9.99 
9.80 9.94 10.32 10.55 9.60 
10.22 11.54 10.97 11.48 10.32 
11.12 8.61 8.80 9.26 9.17 
9.84 9.75 12.32 11.99 9.48 
9.55 10.25 9.61 10.31 9.87 
10.36 10.86 10.75 11.00 10.57 
12.13 11.40 10.66 11.20 10.89 
10.56 9.96 10.81 10.22 10.31 
10.76 9.42 9.71 10.16 12.34 
