h11 h12 h13 h14 h15 h16 h17
0.59 0.80 0.85 0.87 0.74 0.45 1.11 
0.93 1.02 0.89 1.12 0.97 1.07 1.16 
1.02 1.48 1.23 0.68 0.89 0.72 1.02 
1.47 1.33 1.57 0.73 0.66 0.80 0.92 
0.88 1.12 1.26 1.25 1.30 1.01 0.75 
1.26 1.34 1.06 0.89 0.57 0.94 1.36 
1.55 1.18 1.46 0.48 1.46 0.86 1.24 
1.20 1.25 1.16 0.52 2.05 1.10 0.94 
1.45 1.28 0.98 1.17 1.17 1.54 0.95 
1.27 2.30 2.28 0.99 1.50 1.52 2.42 
1.00 1.79 1.89 1.28 1.09 1.12 1.26 
1.11 1.55 1.57 0.99 1.06 1.04 1.64 
0.79 1.40 1.36 0.94 0.96 0.87 1.36 
0.88 1.55 1.41 0.80 0.89 1.06 1.43 
1.20 1.73 1.63 0.86 1.34 0.99 1.61 
0.85 1.57 1.60 0.75 0.89 1.06 1.68 
1.05 1.63 1.60 1.18 0.90 1.13 1.66 
1.01 1.48 1.58 1.04 1.10 1.01 1.47 
0.74 1.54 1.57 0.98 0.91 0.80 1.54 
1.00 1.55 1.55 1.01 1.14 1.11 1.51 
1.05 1.64 1.42 1.14 0.98 1.26 1.46 
0.96 1.80 1.77 0.88 1.16 1.07 1.70 
1.09 1.44 1.70 1.17 1.14 1.07 1.70 
0.94 1.73 1.75 0.86 1.47 0.90 1.55 
1.13 1.73 1.71 1.07 1.04 1.17 1.85 
1.14 1.73 1.75 1.03 1.14 1.17 1.49 
1.19 1.75 1.84 1.06 1.16 1.29 1.83 
1.48 1.90 1.86 1.22 1.01 0.96 1.70 
1.00 1.72 1.75 1.10 0.94 0.95 1.68 
1.12 1.60 1.42 1.04 1.00 1.16 1.67 
0.96 1.55 1.53 0.78 1.01 0.83 1.52 
0.87 1.58 1.59 0.94 0.84 0.92 1.54 
0.90 1.64 1.62 1.07 0.99 1.04 1.55 
1.01 1.38 1.50 0.86 1.04 1.09 1.60 
1.14 1.60 1.43 0.96 1.17 1.21 1.64 
0.99 1.53 1.50 0.91 0.84 1.03 1.47 
1.07 1.56 1.57 1.15 1.03 1.19 1.67 
1.08 1.68 1.66 0.98 1.09 1.38 1.70 
1.01 1.63 1.59 1.09 1.36 1.12 1.65 
0.97 1.53 1.59 0.92 1.06 1.31 1.63 
1.10 1.74 1.72 0.95 0.92 1.38 1.80 
1.00 1.47 1.56 0.82 1.17 0.95 1.50 
1.13 1.66 1.58 1.07 1.24 1.48 1.68 
1.16 1.64 1.69 1.00 1.04 0.99 1.61 
1.36 1.57 1.26 0.97 1.38 1.30 1.50 
1.01 1.37 1.35 0.84 0.95 1.30 1.41 
1.27 1.48 1.42 0.96 1.44 1.38 1.50 
1.50 1.51 1.76 1.05 1.49 1.63 1.73 
1.33 1.36 1.36 0.62 1.37 1.25 1.36 
1.64 1.86 1.79 0.96 1.36 1.58 1.83 
