h11 h12 h13 h14 h15 h16 h17
10.21 9.03 10.87 9.28 9.10 10.94 9.83 
13.13 15.72 15.29 14.27 13.52 16.08 14.74 
15.16 17.26 15.79 16.60 15.00 16.30 15.36 
15.18 13.86 13.43 13.97 13.29 15.29 14.67 
16.44 13.15 16.60 18.29 14.78 15.12 16.52 
15.47 12.85 13.83 13.10 13.88 12.33 14.56 
15.14 13.14 13.22 14.96 13.06 13.97 14.42 
16.42 12.74 15.31 14.44 14.64 14.10 16.10 
14.23 13.32 15.01 14.01 13.49 14.94 16.94 
14.25 12.76 13.23 12.96 16.30 12.89 13.90 
10.76 12.57 12.93 13.77 14.09 10.82 13.22 
12.94 13.14 12.85 11.93 15.15 14.28 13.57 
16.13 15.19 12.44 16.03 14.16 15.18 12.34 
13.66 14.26 13.06 17.78 13.30 13.35 14.73 
11.90 13.01 12.57 12.81 12.89 13.29 14.19 
16.12 17.51 13.89 15.87 14.11 13.27 17.84 
14.71 13.70 15.18 12.48 12.98 13.48 14.00 
13.75 14.98 13.10 13.56 14.95 12.44 13.37 
15.03 14.87 13.99 13.57 14.95 13.64 15.52 
15.87 15.30 16.49 13.78 17.04 17.32 16.08 
14.29 13.06 13.50 13.22 12.78 13.07 14.48 
14.85 15.96 17.01 15.09 16.99 15.30 15.60 
14.05 16.27 15.50 14.81 15.35 14.73 12.92 
12.91 13.09 13.73 16.37 13.18 16.08 12.79 
12.53 13.50 12.31 13.04 12.94 11.94 18.74 
9.25 10.05 10.22 10.51 8.70 10.36 8.90 
15.85 15.02 15.60 14.64 14.91 14.47 16.09 
13.81 14.33 14.11 13.88 13.49 15.03 14.00 
13.24 18.62 13.06 19.08 13.31 14.60 16.29 
11.54 12.10 11.72 13.36 12.67 16.26 15.01 
13.64 11.43 10.34 14.27 12.95 11.68 10.75 
14.04 14.50 15.46 13.40 15.18 16.14 13.78 
14.19 14.68 12.98 13.42 15.89 13.14 13.60 
12.83 13.81 13.15 10.98 13.11 14.18 15.71 
12.98 14.77 11.32 13.31 14.21 14.84 14.59 
14.03 13.43 14.06 14.77 14.26 13.74 13.52 
14.56 14.93 15.52 15.70 14.18 15.64 14.35 
14.36 14.09 15.29 14.69 21.13 14.83 15.39 
10.37 9.37 8.79 10.16 9.09 10.01 10.79 
15.23 13.53 15.99 15.05 14.88 16.56 13.79 
15.17 15.39 15.04 17.18 14.83 15.81 15.70 
14.71 15.60 15.94 12.56 16.25 17.93 12.69 
12.04 12.24 14.01 13.80 13.22 13.39 12.31 
13.64 13.52 15.35 14.22 13.80 14.34 14.79 
14.08 15.43 14.62 13.83 14.78 14.09 15.02 
14.53 14.80 15.19 16.22 15.00 15.42 16.62 
14.10 14.37 13.81 13.74 13.48 14.66 15.59 
16.46 14.35 16.18 13.50 14.78 13.29 12.01 
15.83 15.22 15.49 13.96 15.20 15.20 14.96 
14.17 14.89 17.61 14.58 14.90 14.35 14.43 
