h11 h12 h13 h14 h15
6.04 6.23 6.15 6.51 6.35 
8.86 8.39 9.14 9.79 10.35 
9.12 7.96 8.42 8.96 9.19 
9.19 10.63 8.58 6.92 8.87 
7.22 9.42 6.32 9.37 6.30 
9.30 9.65 7.31 7.42 6.62 
7.10 7.89 6.67 7.36 6.85 
10.01 9.62 8.15 8.43 7.86 
9.08 7.64 7.58 7.51 9.12 
6.95 9.54 9.25 7.42 7.41 
7.16 7.62 7.17 7.42 6.90 
8.92 8.03 8.55 10.11 9.73 
9.55 7.50 8.63 8.89 7.21 
7.04 7.43 7.34 6.98 9.26 
6.24 8.72 9.50 8.97 7.45 
7.27 6.78 7.59 6.83 8.04 
8.25 8.52 8.40 8.49 7.74 
10.35 9.69 7.92 10.99 8.46 
7.17 7.70 7.22 7.97 7.31 
10.31 10.44 8.97 8.88 8.89 
8.01 9.32 8.78 8.72 10.73 
7.10 6.89 6.91 9.36 6.86 
7.20 7.42 6.72 6.85 7.29 
8.01 10.09 9.44 7.92 9.24 
8.31 8.14 8.62 9.87 9.88 
6.96 7.02 8.55 8.79 6.82 
8.16 9.19 7.53 7.37 7.82 
8.55 8.05 8.57 8.15 8.40 
9.47 9.31 9.15 11.37 7.59 
7.55 6.99 7.78 7.62 7.51 
8.57 10.50 10.30 8.71 8.36 
7.95 6.09 9.10 8.48 7.90 
8.25 9.75 8.55 8.18 8.60 
7.04 8.07 7.10 8.57 8.48 
9.39 7.77 9.84 7.46 9.32 
8.28 8.38 8.12 8.47 8.13 
8.86 8.47 8.97 8.80 8.55 
8.26 10.79 8.22 8.51 10.67 
7.53 7.79 7.97 9.64 7.59 
6.45 7.70 7.65 7.90 6.61 
9.14 7.86 9.00 8.82 9.28 
9.42 7.20 8.04 9.74 7.77 
6.59 8.56 10.05 9.32 7.47 
6.46 8.22 10.15 7.87 6.48 
7.87 7.01 7.49 7.24 8.31 
9.01 10.20 9.13 8.87 9.06 
8.36 6.83 8.65 9.06 6.97 
9.74 8.38 8.26 8.44 6.80 
7.79 8.65 6.41 7.28 7.82 
9.20 8.87 9.57 7.36 7.69 
