h11 h12 h13 h14 h15 h16 h17
0.96 0.70 1.03 0.77 0.83 0.68 0.92 
0.71 1.25 0.82 1.31 0.81 0.79 0.95 
0.82 1.11 1.24 1.55 1.28 0.73 0.75 
0.66 1.03 1.15 1.28 1.07 1.18 0.96 
0.89 0.94 1.11 1.02 1.04 0.94 1.09 
1.07 1.78 1.29 1.65 1.67 1.61 1.48 
0.71 1.48 1.52 1.65 1.48 1.15 1.68 
1.56 2.09 1.85 1.96 2.15 1.99 2.19 
2.23 2.18 1.40 1.51 1.34 1.50 1.60 
1.16 1.83 1.35 1.21 1.33 1.12 1.11 
1.84 1.82 1.29 1.52 1.10 1.08 1.23 
1.68 1.66 1.01 0.88 0.92 1.07 1.16 
1.73 1.60 1.20 1.03 1.25 0.98 1.07 
1.47 1.64 0.97 1.00 1.24 1.04 1.52 
1.71 1.74 1.24 1.13 1.33 1.22 1.16 
1.36 1.70 1.06 0.86 1.27 0.92 1.43 
1.62 1.50 1.15 1.10 1.12 0.92 1.11 
1.63 1.64 1.14 1.11 1.00 1.10 1.61 
1.58 1.67 1.13 1.01 1.27 1.13 1.25 
1.70 1.39 0.99 0.88 1.35 1.22 1.77 
1.65 1.50 1.09 0.94 1.54 1.02 1.39 
1.63 1.65 0.86 0.92 0.97 0.89 1.59 
1.47 1.43 0.94 0.99 0.91 0.70 1.35 
1.39 1.32 0.85 0.83 1.01 0.99 1.41 
1.62 1.52 1.14 1.00 0.90 1.05 1.64 
1.85 1.99 1.02 0.92 0.99 0.71 1.94 
1.71 1.63 1.14 1.06 1.03 0.97 1.77 
1.67 1.64 1.10 1.00 1.06 1.08 1.62 
1.64 1.47 1.02 0.97 0.99 1.05 1.66 
1.67 1.57 1.11 0.81 0.95 0.89 1.61 
1.67 1.64 1.04 1.07 1.16 1.21 1.66 
1.56 1.44 0.87 0.82 1.03 0.86 1.60 
1.61 1.46 1.15 0.87 0.97 0.82 1.63 
1.63 1.67 1.19 1.11 1.16 0.98 1.62 
1.48 1.44 0.95 1.00 1.17 0.86 1.30 
1.55 1.60 1.00 1.04 0.89 0.95 1.50 
1.46 1.55 0.98 0.84 1.03 0.90 1.44 
1.53 1.60 0.94 0.80 1.10 1.02 1.44 
1.39 1.56 1.07 1.12 0.91 0.95 1.49 
1.68 1.66 1.03 1.14 1.00 1.11 1.63 
1.42 1.64 1.12 1.08 1.48 1.17 1.66 
1.91 1.87 1.36 1.28 1.42 0.99 1.94 
1.53 1.56 1.91 1.07 0.95 1.06 1.64 
1.66 1.69 1.14 1.19 1.00 1.03 1.66 
1.40 1.39 0.88 0.97 1.02 0.83 1.62 
1.98 2.02 1.43 1.33 1.19 1.30 1.90 
1.50 1.59 0.95 1.07 1.03 0.86 1.55 
1.78 1.71 1.28 0.88 1.09 1.23 1.76 
1.63 1.48 1.06 0.95 0.99 1.12 1.66 
1.37 1.64 0.98 1.05 1.05 1.01 1.56 
