h11 h12 h13 h14 h15
6.27 6.49 7.08 6.60 6.35 
8.81 10.99 9.54 9.40 11.30 
7.01 8.61 7.38 7.07 8.60 
8.77 8.70 8.96 9.13 8.88 
8.46 8.23 10.54 8.35 10.85 
8.21 9.59 7.82 8.07 10.27 
8.48 8.12 8.53 8.79 8.08 
9.22 11.87 9.78 9.68 9.25 
7.65 7.55 8.82 7.73 9.09 
10.89 8.90 8.20 8.51 8.23 
7.38 8.01 7.83 7.94 7.57 
9.20 8.85 10.69 7.59 8.72 
7.62 7.41 7.23 7.19 8.11 
9.22 9.24 9.38 10.59 9.62 
8.37 10.08 7.54 7.91 7.43 
7.43 8.81 10.38 7.60 7.86 
7.10 7.67 9.40 7.28 8.09 
7.07 6.90 9.26 8.94 9.43 
8.82 9.59 9.41 9.03 8.69 
10.66 8.60 8.61 8.75 8.71 
7.48 7.39 7.77 7.16 7.68 
8.80 10.29 8.60 10.69 8.82 
9.50 8.15 7.83 7.95 9.69 
7.50 8.29 10.29 7.89 9.19 
7.91 8.90 7.23 9.89 7.60 
8.79 7.29 6.20 8.10 6.80 
8.01 7.44 9.02 7.35 8.07 
7.90 8.18 8.61 10.44 10.37 
6.99 7.53 7.50 7.10 7.18 
9.40 11.94 9.74 9.23 9.80 
7.02 7.38 9.08 7.78 7.25 
7.51 7.17 7.73 7.22 7.41 
8.82 9.60 9.07 11.45 10.31 
8.24 9.83 8.49 8.53 8.85 
7.77 9.47 9.12 8.34 7.95 
8.65 8.40 8.80 8.81 8.45 
9.15 9.39 9.75 9.02 9.62 
8.37 9.61 10.85 10.55 9.44 
8.92 8.82 9.69 9.02 9.24 
9.18 7.85 8.09 9.70 9.48 
7.82 8.80 9.56 7.60 11.44 
7.24 7.11 7.35 7.97 7.53 
10.42 8.79 8.76 9.02 9.19 
8.94 7.65 7.44 7.83 7.62 
8.97 9.44 8.12 9.96 7.91 
7.84 7.77 7.93 7.74 7.56 
10.58 8.30 9.76 12.01 8.32 
7.32 7.50 9.72 7.45 8.12 
9.53 7.60 7.36 7.14 7.43 
9.03 6.89 8.12 9.09 7.50 
