h11 h12 h13 h14 h15 h16 h17
0.71 0.95 0.55 0.57 0.58 0.88 0.96 
0.78 1.07 0.80 0.72 0.92 0.91 0.91 
1.41 0.79 0.76 0.89 1.38 0.86 1.56 
1.69 1.11 0.39 0.93 1.19 1.48 1.33 
0.95 1.24 0.85 1.10 1.73 1.30 1.30 
1.17 1.41 0.41 0.82 1.47 1.07 1.28 
0.89 1.07 1.21 2.00 1.55 1.34 1.42 
1.41 1.13 0.78 1.19 1.27 1.29 1.23 
1.43 1.51 0.77 1.58 1.30 1.26 1.35 
1.87 1.18 0.98 1.39 1.31 1.30 1.45 
1.31 1.95 1.03 1.08 2.14 1.30 1.19 
1.11 1.15 0.62 1.29 1.64 1.23 1.08 
1.08 1.15 0.76 0.93 1.66 0.91 0.86 
0.93 0.84 0.74 1.02 1.31 1.07 1.22 
0.77 1.02 0.85 1.00 1.63 0.90 0.97 
1.17 0.94 0.58 1.62 1.64 1.00 1.08 
1.20 1.09 0.65 1.48 1.72 1.25 1.13 
1.10 1.37 0.78 1.69 1.55 1.21 1.15 
0.94 1.12 0.55 1.44 1.75 1.45 1.29 
1.09 1.10 0.75 1.52 1.59 1.23 1.08 
1.03 1.14 0.62 1.49 1.42 1.22 0.97 
0.99 1.14 0.78 1.20 1.64 1.43 1.08 
1.07 1.46 0.78 1.49 1.65 1.57 1.13 
0.99 1.43 0.68 1.55 1.64 1.47 1.08 
1.12 1.28 0.66 1.55 1.62 1.59 1.02 
0.93 1.35 0.72 1.65 1.67 1.61 1.22 
1.00 1.58 0.86 1.74 1.78 1.73 1.11 
1.12 1.51 0.75 1.42 1.57 1.60 0.95 
0.87 1.35 0.56 1.38 1.45 1.56 1.02 
0.87 1.51 0.78 1.38 1.45 1.45 0.98 
1.12 1.56 0.55 1.71 1.70 1.76 1.19 
1.23 1.85 1.02 1.77 1.75 1.67 1.27 
0.99 1.67 0.65 1.54 1.55 1.63 1.12 
0.89 1.57 0.56 1.54 1.61 1.59 0.86 
1.02 1.47 0.45 1.45 1.55 1.48 0.88 
1.01 1.44 0.69 1.46 1.47 1.48 1.06 
1.14 1.58 0.75 1.59 1.50 1.59 1.10 
1.03 1.81 0.61 1.73 1.68 1.79 1.22 
0.89 1.62 0.75 1.54 1.56 1.36 1.05 
0.99 1.35 0.87 1.48 1.46 1.52 1.11 
0.91 1.51 0.63 1.62 1.51 1.61 1.33 
0.79 1.45 0.65 1.56 1.59 1.61 1.15 
1.10 1.80 0.90 1.71 1.76 1.74 1.14 
1.01 1.43 0.66 1.50 1.45 1.42 0.99 
1.14 1.56 0.61 1.56 1.47 1.66 1.24 
0.84 1.48 0.68 1.55 1.50 1.57 0.99 
1.17 1.48 0.56 1.56 1.52 1.55 0.94 
1.00 1.56 0.67 1.55 1.62 1.41 1.15 
1.30 1.62 0.71 1.56 1.58 1.54 1.11 
0.87 1.51 0.59 1.54 1.61 1.57 0.86 
