h11 h12 h13
0.36 0.56 0.34 
0.78 0.31 0.25 
0.52 0.37 0.32 
0.35 0.41 0.23 
0.48 0.61 0.35 
0.57 0.61 0.49 
0.78 0.40 0.48 
0.61 0.39 0.54 
0.72 0.42 0.47 
0.66 0.43 0.54 
0.54 0.36 0.54 
0.65 0.39 0.62 
0.53 0.33 0.58 
0.57 0.37 0.51 
0.63 0.34 0.54 
0.65 0.33 0.62 
0.71 0.43 0.73 
0.47 0.39 0.54 
0.87 0.66 0.80 
0.75 0.49 0.70 
0.68 0.41 0.66 
0.78 0.37 0.60 
0.67 0.46 0.66 
0.78 0.50 0.75 
0.72 0.48 0.62 
0.73 0.40 0.77 
0.69 0.50 0.73 
0.53 0.45 0.59 
0.66 0.46 0.66 
0.76 0.54 0.80 
0.70 0.53 0.71 
0.68 0.63 0.66 
0.74 0.43 0.78 
0.63 0.62 0.66 
0.60 0.60 0.63 
0.74 0.75 0.70 
0.71 0.61 0.73 
0.64 0.67 0.59 
0.70 0.75 0.71 
0.61 0.70 0.64 
0.65 0.66 0.68 
0.74 0.77 0.70 
0.67 0.56 0.64 
0.71 0.73 0.74 
0.55 0.57 0.63 
0.60 0.62 0.49 
0.68 0.70 0.73 
0.77 0.57 0.73 
0.65 0.70 0.59 
0.70 0.62 0.69 
