h11 h12 h13 h14 h15
0.38 0.51 0.47 0.52 0.47 
0.50 0.92 0.54 0.37 0.49 
0.53 0.75 0.31 0.63 0.36 
0.37 0.54 0.88 0.43 0.33 
0.94 0.99 0.96 0.89 1.25 
0.94 0.58 1.08 0.86 1.05 
0.56 0.96 0.60 1.10 1.28 
0.92 0.91 0.40 1.28 1.03 
0.87 0.56 0.49 0.94 1.55 
0.82 0.67 0.58 0.72 1.33 
0.71 0.80 0.55 0.79 1.21 
0.65 0.76 0.68 1.21 1.21 
0.64 0.70 0.45 0.88 1.20 
1.15 0.76 0.44 0.98 1.28 
1.11 0.83 0.42 0.70 1.14 
1.01 0.72 0.64 0.82 1.20 
0.88 1.08 0.39 0.65 1.07 
1.16 0.87 0.55 0.84 1.23 
0.96 0.76 0.31 0.75 1.17 
1.09 0.80 0.54 0.80 1.26 
1.09 0.65 0.40 0.62 1.13 
1.16 0.91 0.65 0.75 1.27 
1.00 0.70 0.42 0.66 1.08 
1.00 0.68 0.46 0.81 1.11 
1.07 0.84 0.50 0.88 1.11 
1.05 0.78 0.50 0.74 1.15 
1.13 0.70 0.52 0.93 1.18 
1.06 0.82 0.41 0.86 1.18 
1.18 0.97 0.51 1.14 1.34 
1.19 0.75 0.47 0.79 1.21 
1.11 0.73 1.03 0.72 1.02 
1.23 0.78 1.26 0.89 1.20 
1.08 0.78 0.95 0.62 1.08 
1.22 0.72 1.16 0.64 1.19 
1.13 0.72 1.15 0.70 1.13 
1.09 0.72 1.15 0.66 1.16 
1.14 0.87 1.19 0.77 1.13 
1.14 0.80 1.17 0.86 1.22 
1.08 0.72 1.15 0.81 1.13 
1.17 0.77 1.13 0.66 1.13 
0.89 0.67 1.04 0.62 1.05 
0.98 0.71 0.93 0.65 1.04 
1.22 0.87 1.28 0.80 1.10 
1.18 0.71 1.15 0.67 0.94 
1.10 0.69 1.17 0.78 1.14 
1.10 0.69 1.08 0.86 1.12 
1.06 0.85 1.23 0.92 1.07 
1.21 0.70 1.08 0.86 1.19 
1.12 0.80 1.10 0.72 1.07 
1.25 0.81 1.16 0.75 1.15 
